Epoch,Disc_acc,GenDisc_acc,GenClass_acc,mean_RTS_sim,mean_STS_sim
1,0.47999998927116394,0.6800000071525574,0.05,0.0044869210617375435,0.07428837567567825
2,0.5400000214576721,0.47999998927116394,0.17,0.003291659351864393,-0.013343925587832928
3,0.46000000834465027,0.6000000238418579,0.24,0.0011127336930829618,0.0479094497859478
4,0.5199999809265137,0.4000000059604645,0.38,0.016979292482605903,0.06476004421710968
5,0.5199999809265137,0.47999998927116394,0.4,0.02364451846755187,0.043739672750234604
6,0.5199999809265137,0.36000001430511475,0.56,0.026747850860065047,0.07495874166488647
7,0.5799999833106995,0.4399999976158142,0.66,0.025977527669862558,0.10262253135442734
8,0.5,0.4000000059604645,0.77,0.02309291769981058,0.2243255376815796
9,0.5600000023841858,0.3199999928474426,0.82,0.030820892338248324,0.16355814039707184
10,0.6000000238418579,0.2800000011920929,0.85,0.02343025431962587,0.26468876004219055
